rs_id 	 so_term 	 ensembl_gene_ids 	 gene_symbols 	 distance 	 is_regulatory
rs10013166 	 intron_variant 	 ENSG00000218336 	 TENM3 	 0 	 
rs10014072 	 intron_variant 	 ENSG00000145362 	 ANK2 	 0 	 
rs10014313 	 nearest_gene_five_prime_end 	 ENSG00000179059 	 ZFP42 	 -292530 	 
rs10015037 	 nearest_gene_five_prime_end 	 ENSG00000163114 	 PDHA2 	 -1121149 	 
rs1001579 	 nearest_gene_five_prime_end 	 ENSG00000145743 	 FBXL17 	 -14158 	 
rs10017238 	 intron_variant 	 ENSG00000218336 	 TENM3 	 0 	 
rs10017284 	 nearest_gene_five_prime_end 	 ENSG00000138738 	 PRDM5 	 -330810 	 
rs10018902 	 nearest_gene_five_prime_end 	 ENSG00000138738 	 PRDM5 	 -18475 	 
rs10019279 	 nearest_gene_five_prime_end 	 ENSG00000218336 	 TENM3 	 -866661 	 
rs10019888 	 nearest_gene_five_prime_end 	 ENSG00000168214 	 RBPJ 	 -102087 	 regulatory
rs10021303 	 intron_variant 	 ENSG00000138696 	 BMPR1B 	 0 	 
rs10022462 	 nearest_gene_five_prime_end 	 ENSG00000163644 	 PPM1K 	 -37896 	 
rs10023113 	 intron_variant 	 ENSG00000145349 	 CAMK2D 	 0 	 
rs1002353 	 nearest_gene_five_prime_end 	 ENSG00000079308 	 TNS1 	 -472573 	 
rs1002442 	 nearest_gene_five_prime_end 	 ENSG00000108091 	 CCDC6 	 -136647 	 
rs10026358 	 nearest_gene_five_prime_end 	 ENSG00000109576 	 AADAT 	 -537894 	 
rs10026364 	 nearest_gene_five_prime_end 	 ENSG00000254535 	 PABPC4L 	 -399836 	 regulatory
rs10027628 	 nearest_gene_five_prime_end 	 ENSG00000138696 	 BMPR1B 	 -35162 	 
rs10028213 	 nearest_gene_five_prime_end 	 ENSG00000151623 	 NR3C2 	 -286759 	 
rs10028773 	 nearest_gene_five_prime_end 	 ENSG00000145384 	 FABP2 	 -21713 	 
rs10029269 	 nearest_gene_five_prime_end 	 ENSG00000254535 	 PABPC4L 	 -657468 	 
rs10029577 	 intron_variant 	 ENSG00000135226 	 UGT2B28 	 0 	 
rs1002979 	 nearest_gene_five_prime_end 	 ENSG00000206531 	 CD200R1L 	 -67823 	 regulatory
rs10029851 	 nearest_gene_five_prime_end 	 ENSG00000164089 	 ETNPPL 	 -56185 	 
rs10030601 	 nearest_gene_five_prime_end 	 ENSG00000170390 	 DCLK2 	 -274214 	 
rs10030764 	 nearest_gene_five_prime_end 	 ENSG00000179059 	 ZFP42 	 -298000 	 
rs10031224 	 nearest_gene_five_prime_end 	 ENSG00000179059 	 ZFP42 	 -297476 	 
rs10032216 	 nearest_gene_five_prime_end 	 ENSG00000151623 	 NR3C2 	 -303655 	 
rs1003247 	 nearest_gene_five_prime_end 	 ENSG00000122557 	 HERPUD2 	 -125019 	 
rs10032549 	 intron_variant 	 ENSG00000138771 	 SHROOM3 	 0 	 
rs10032931 	 intron_variant 	 ENSG00000182168 	 UNC5C 	 0 	 
rs10033464 	 nearest_gene_five_prime_end 	 ENSG00000164093 	 PITX2 	 -157481 	 
rs10033900 	 downstream_gene_variant 	 ENSG00000205403 	 CFI 	 0 	 
rs10034228 	 nearest_gene_five_prime_end 	 ENSG00000174749 	 C4orf32 	 -454803 	 
rs10034692 	 nearest_gene_five_prime_end 	 ENSG00000109321 	 AREG 	 -108935 	 
rs10034736 	 nearest_gene_five_prime_end 	 ENSG00000179059 	 ZFP42 	 -302017 	 
rs10034852 	 nearest_gene_five_prime_end 	 ENSG00000179059 	 ZFP42 	 -301883 	 
rs10036180 	 nearest_gene_five_prime_end 	 ENSG00000170549 	 IRX1 	 -603588 	 
rs10036225 	 nearest_gene_five_prime_end 	 ENSG00000170549 	 IRX1 	 -603765 	 
rs10036748 	 intron_variant 	 ENSG00000145901 	 TNIP1 	 0 	 
rs10037055 	 intron_variant 	 ENSG00000165671 	 NSD1 	 0 	 
rs1003719 	 intron_variant 	 ENSG00000182670 	 TTC3 	 0 	 
rs10037512 	 nearest_gene_five_prime_end 	 ENSG00000081189 	 MEF2C 	 -154600 	 
rs10037670 	 nearest_gene_five_prime_end 	 ENSG00000164576 	 SAP30L 	 -14027 	 
rs10038 	 3_prime_UTR_variant 	 ENSG00000105662 	 CRTC1 	 0 	 
rs10038113 	 nearest_gene_five_prime_end 	 ENSG00000113100 	 CDH9 	 -1218917 	 
rs10039217 	 nearest_gene_five_prime_end 	 ENSG00000145920 	 CPLX2 	 -44438 	 
rs10039254 	 intron_variant 	 ENSG00000087116 	 ADAMTS2 	 0 	 
rs10040979 	 intron_variant 	 ENSG00000164330 	 EBF1 	 0 	 
rs10040989 	 nearest_gene_five_prime_end 	 ENSG00000094880 	 CDC23 	 -24692 	 
rs10041935 	 nearest_gene_five_prime_end 	 ENSG00000169067 	 ACTBL2 	 -436180 	 
rs10041997 	 nearest_gene_five_prime_end 	 ENSG00000184838 	 PRR16 	 -398337 	 
rs10042348 	 nearest_gene_five_prime_end 	 ENSG00000016082 	 ISL1 	 -538625 	 
rs10042968 	 nearest_gene_five_prime_end 	 ENSG00000178394 	 HTR1A 	 -224616 	 
rs10043228 	 intron_variant 	 ENSG00000145781 	 COMMD10 	 0 	 
rs10043296 	 nearest_gene_five_prime_end 	 ENSG00000170549 	 IRX1 	 -600327 	 
rs1004368 	 nearest_gene_five_prime_end 	 ENSG00000172318 	 B3GALT1 	 -83488 	 
rs10043775 	 missense_variant 	 ENSG00000145868 	 FBXO38 	 0 	 
rs10043984 	 intron_variant 	 ENSG00000120733 	 KDM3B 	 0 	 
rs10044242 	 intron_variant 	 ENSG00000157510 	 AFAP1L1 	 0 	 
rs10044254 	 intron_variant 	 ENSG00000183580 	 FBXL7 	 0 	 
rs1004446 	 intron_variant 	 ENSG00000129965,ENSG00000167244 	 INS-IGF2,IGF2 	 0 	 
rs1004467 	 nearest_gene_five_prime_end 	 ENSG00000166275 	 C10orf32 	 -19473 	 
rs10045413 	 nearest_gene_five_prime_end 	 ENSG00000145824 	 CXCL14 	 -13813 	 
rs10045431 	 nearest_gene_five_prime_end 	 ENSG00000113302 	 IL12B 	 -56637 	 
rs10045497 	 intron_variant 	 ENSG00000113161 	 HMGCR 	 0 	 
rs10046257 	 nearest_gene_five_prime_end 	 ENSG00000168394 	 TAP1 	 -32889 	 regulatory
rs10046456 	 intron_variant 	 ENSG00000120278 	 PLEKHG1 	 0 	 
rs1004689 	 nearest_gene_five_prime_end 	 ENSG00000219438 	 FAM19A5 	 -233275 	 
rs10047462 	 intron_variant 	 ENSG00000160584 	 SIK3 	 0 	 
rs10048146 	 nearest_gene_five_prime_end 	 ENSG00000176678 	 FOXL1 	 -100685 	 regulatory
rs10048158 	 intron_variant 	 ENSG00000091583 	 APOH 	 0 	 
rs1004819 	 intron_variant 	 ENSG00000162594,ENSG00000203963 	 IL23R,C1orf141 	 0 	 
rs10049088 	 nearest_gene_five_prime_end 	 ENSG00000163660 	 CCNL1 	 -80901 	 
rs10049246 	 nearest_gene_five_prime_end 	 ENSG00000136527 	 TRA2B 	 -30815 	 
rs10049992 	 intron_variant 	 ENSG00000163453 	 IGFBP7 	 0 	 
rs10050311 	 intron_variant 	 ENSG00000145283 	 SLC10A6 	 0 	 
rs10052004 	 nearest_gene_five_prime_end 	 ENSG00000169067 	 ACTBL2 	 -112136 	 
rs1005224 	 intron_variant 	 ENSG00000119685 	 TTLL5 	 0 	 
rs10052657 	 intron_variant 	 ENSG00000113448 	 PDE4D 	 0 	 
rs10053502 	 nearest_gene_five_prime_end 	 ENSG00000153071 	 DAB2 	 -516769 	 
rs1005390 	 intron_variant 	 ENSG00000002726 	 AOC1 	 0 	 
rs10054504 	 intron_variant 	 ENSG00000133401 	 PDZD2 	 0 	 
rs10055544 	 nearest_gene_five_prime_end 	 ENSG00000113369 	 ARRDC3 	 -839544 	 
rs10056340 	 nearest_gene_five_prime_end 	 ENSG00000186952 	 TMEM232 	 -115396 	 regulatory
rs10057405 	 intron_variant 	 ENSG00000138829 	 FBN2 	 0 	 
rs10057565 	 intron_variant 	 ENSG00000113100 	 CDH9 	 0 	 
rs10058074 	 nearest_gene_five_prime_end 	 ENSG00000197375 	 SLC22A5 	 -19299 	 
rs10058621 	 nearest_gene_five_prime_end 	 ENSG00000016082 	 ISL1 	 -124056 	 
rs10058728 	 intron_variant 	 ENSG00000113712 	 CSNK1A1 	 0 	 
rs1005956 	 intron_variant 	 ENSG00000151229 	 SLC2A13 	 0 	 
rs10061804 	 intron_variant 	 ENSG00000113389 	 NPR3 	 0 	 
rs10063647 	 nearest_gene_five_prime_end 	 ENSG00000064651 	 SLC12A2 	 -47870 	 
rs10065203 	 intron_variant 	 ENSG00000038382 	 TRIO 	 0 	 
rs10065350 	 intron_variant 	 ENSG00000152932 	 RAB3C 	 0 	 
rs10065637 	 intron_variant 	 ENSG00000164512 	 ANKRD55 	 0 	 
rs10065813 	 intron_variant 	 ENSG00000155511 	 GRIA1 	 0 	 
rs10065906 	 nearest_gene_five_prime_end 	 ENSG00000113302 	 IL12B 	 -249882 	 
rs10066447 	 nearest_gene_five_prime_end 	 ENSG00000039139 	 DNAH5 	 -701681 	 
rs1006703 	 intron_variant 	 ENSG00000074370 	 ATP2A3 	 0 	 
rs1006737 	 intron_variant 	 ENSG00000151067 	 CACNA1C 	 0 	 
rs10067427 	 nearest_gene_five_prime_end 	 ENSG00000174132 	 FAM174A 	 -528962 	 
rs10067755 	 nearest_gene_five_prime_end 	 ENSG00000145675 	 PIK3R1 	 -204086 	 
rs1006899 	 nearest_gene_five_prime_end 	 ENSG00000155304 	 HSPA13 	 -89246 	 
rs10069397 	 nearest_gene_five_prime_end 	 ENSG00000069020 	 MAST4 	 -108480 	 
rs10069690 	 intron_variant 	 ENSG00000164362 	 TERT 	 0 	 
rs1006973 	 intron_variant 	 ENSG00000139926 	 FRMD6 	 0 	 
rs10069748 	 intron_variant 	 ENSG00000118985 	 ELL2 	 0 	 
rs1007000 	 intron_variant 	 ENSG00000198121 	 LPAR1 	 0 	 
rs10070303 	 intron_variant 	 ENSG00000050767 	 COL23A1 	 0 	 
rs10070308 	 intron_variant 	 ENSG00000145743 	 FBXL17 	 0 	 
rs1007190 	 intron_variant 	 ENSG00000131094 	 C1QL1 	 0 	 
rs1007358 	 nearest_gene_five_prime_end 	 ENSG00000146674 	 IGFBP3 	 -239882 	 regulatory
rs10073892 	 nearest_gene_five_prime_end 	 ENSG00000173930 	 SLCO4C1 	 -94516 	 
rs1007392 	 intron_variant 	 ENSG00000152270 	 PDE3B 	 0 	 
rs10074258 	 intron_variant 	 ENSG00000184349 	 EFNA5 	 0 	 
rs10074525 	 intron_variant 	 ENSG00000164199 	 ADGRV1 	 0 	 
rs10076782 	 intron_variant 	 ENSG00000145860 	 RNF145 	 0 	 
rs1007738 	 intron_variant 	 ENSG00000175216 	 CKAP5 	 0 	 
rs10077875 	 nearest_gene_five_prime_end 	 ENSG00000145808 	 ADAMTS19 	 -73262 	 
rs10078 	 3_prime_UTR_variant 	 ENSG00000063438 	 AHRR 	 0 	 
rs10078095 	 intron_variant 	 ENSG00000152413 	 HOMER1 	 0 	 
rs10079205 	 nearest_gene_five_prime_end 	 ENSG00000170549 	 IRX1 	 -601806 	 
rs10079417 	 nearest_gene_five_prime_end 	 ENSG00000177034 	 MTX3 	 -143891 	 
rs1008084 	 nearest_gene_five_prime_end 	 ENSG00000135535 	 CD164 	 -76797 	 
rs1008126 	 intron_variant 	 ENSG00000189056 	 RELN 	 0 	 
rs1008375 	 intron_variant 	 ENSG00000047662 	 FAM184B 	 0 	 
rs10084630 	 intron_variant 	 ENSG00000100055 	 CYTH4 	 0 	 
rs10086568 	 nearest_gene_five_prime_end 	 ENSG00000164816 	 DEFA5 	 -13920 	 
rs10088218 	 nearest_gene_five_prime_end 	 ENSG00000280151 	 FKSG59 	 -413691 	 
rs10088262 	 nearest_gene_five_prime_end 	 ENSG00000176853 	 FAM91A1 	 -14994 	 
rs10089 	 3_prime_UTR_variant 	 ENSG00000064651 	 SLC12A2 	 0 	 
rs10089517 	 nearest_gene_five_prime_end 	 ENSG00000198846 	 TOX 	 -146953 	 
rs1008953 	 upstream_gene_variant 	 ENSG00000124145 	 SDC4 	 0 	 
rs10090117 	 downstream_gene_variant 	 ENSG00000156011 	 PSD3 	 0 	 
rs10090154 	 nearest_gene_five_prime_end 	 ENSG00000212993 	 POU5F1B 	 -105601 	 
rs10090288 	 intron_variant 	 ENSG00000155970 	 MICU3 	 0 	 
rs1009080 	 nearest_gene_five_prime_end 	 ENSG00000060656 	 PTPRU 	 -722196 	 
rs10090896 	 intron_variant 	 ENSG00000137571 	 SLCO5A1 	 0 	 
rs10091038 	 nearest_gene_five_prime_end 	 ENSG00000120875 	 DUSP4 	 -152119 	 
rs10091374 	 nearest_gene_five_prime_end 	 ENSG00000140396 	 NCOA2 	 -70863 	 
rs1009170 	 3_prime_UTR_variant 	 ENSG00000165934 	 CPSF2 	 0 	 
rs10092658 	 intron_variant 	 ENSG00000153310 	 FAM49B 	 0 	 
rs10094872 	 nearest_gene_five_prime_end 	 ENSG00000136997 	 MYC 	 -27795 	 
rs10096633 	 nearest_gene_five_prime_end 	 ENSG00000175445 	 LPL 	 -71692 	 
rs10097215 	 nearest_gene_five_prime_end 	 ENSG00000036448 	 MYOM2 	 -589082 	 
rs10097669 	 intron_variant 	 ENSG00000183117 	 CSMD1 	 0 	 
rs10097731 	 upstream_gene_variant 	 ENSG00000076641 	 PAG1 	 0 	 
rs10098310 	 nearest_gene_five_prime_end 	 ENSG00000147697 	 GSDMC 	 -185520 	 
rs1009840 	 intron_variant 	 ENSG00000118515 	 SGK1 	 0 	 
rs10098647 	 intron_variant 	 ENSG00000178538 	 CA8 	 0 	 
rs10099338 	 nearest_gene_five_prime_end 	 ENSG00000173273 	 TNKS 	 -155685 	 
rs10102164 	 nearest_gene_five_prime_end 	 ENSG00000164736 	 SOX17 	 -51118 	 
rs10102392 	 nearest_gene_five_prime_end 	 ENSG00000104267 	 CA2 	 -91456 	 
rs1010254 	 nearest_gene_five_prime_end 	 ENSG00000132911 	 NMUR2 	 -78820 	 
rs10102546 	 nearest_gene_five_prime_end 	 ENSG00000136999 	 NOV 	 -128027 	 regulatory
rs1010304 	 intron_variant 	 ENSG00000124177 	 CHD6 	 0 	 
rs10104895 	 nearest_gene_five_prime_end 	 ENSG00000177182 	 CLVS1 	 -93673 	 
rs10104997 	 nearest_gene_five_prime_end 	 ENSG00000164736 	 SOX17 	 -69572 	 
rs10105606 	 downstream_gene_variant 	 ENSG00000175445 	 LPL 	 0 	 
rs10106540 	 nearest_gene_five_prime_end 	 ENSG00000008513 	 ST3GAL1 	 -122332 	 regulatory
rs10107366 	 downstream_gene_variant 	 ENSG00000132541 	 HRSP12 	 0 	 
rs10108033 	 nearest_gene_five_prime_end 	 ENSG00000155897 	 ADCY8 	 -276042 	 
rs10108684 	 intron_variant 	 ENSG00000178764 	 ZHX2 	 0 	 
rs10108954 	 intron_variant 	 ENSG00000147324 	 MFHAS1 	 0 	 
rs10109414 	 nearest_gene_five_prime_end 	 ENSG00000159167 	 STC1 	 -38830 	 
rs1011108 	 upstream_gene_variant 	 ENSG00000173557,ENSG00000115155 	 C2orf70,OTOF 	 0 	 
rs10111661 	 nearest_gene_five_prime_end 	 ENSG00000061337 	 LZTS1 	 -175098 	 
rs10112481 	 nearest_gene_five_prime_end 	 ENSG00000183117 	 CSMD1 	 -22677 	 
rs10112574 	 nearest_gene_five_prime_end 	 ENSG00000169085 	 C8orf46 	 -9029 	 
rs10113213 	 nearest_gene_five_prime_end 	 ENSG00000104497 	 SNX16 	 -133506 	 
rs10113215 	 nearest_gene_five_prime_end 	 ENSG00000198846 	 TOX 	 -100426 	 
rs10113221 	 intron_variant 	 ENSG00000183117 	 CSMD1 	 0 	 
rs10113903 	 intron_variant 	 ENSG00000086062 	 B4GALT1 	 0 	 
rs1011397 	 nearest_gene_five_prime_end 	 ENSG00000121964 	 GTDC1 	 -400018 	 
rs10114038 	 intron_variant 	 ENSG00000148200 	 NR6A1 	 0 	 
rs10114408 	 nearest_gene_five_prime_end 	 ENSG00000131668 	 BARX1 	 -86520 	 
rs10115586 	 nearest_gene_five_prime_end 	 ENSG00000136869 	 TLR4 	 -92400 	 
rs1011731 	 intron_variant 	 ENSG00000197959 	 DNM3 	 0 	 
rs10117974 	 nearest_gene_five_prime_end 	 ENSG00000135049 	 AGTPBP1 	 -515343 	 
rs10119 	 3_prime_UTR_variant 	 ENSG00000130204 	 TOMM40 	 0 	 
rs1011970 	 nearest_gene_five_prime_end 	 ENSG00000147883 	 CDKN2B 	 -52771 	 
rs1012036 	 nearest_gene_five_prime_end 	 ENSG00000221900 	 POM121L12 	 -630888 	 
rs10120372 	 nearest_gene_five_prime_end 	 ENSG00000186051 	 TAL2 	 -15803 	 
rs1012053 	 intron_variant 	 ENSG00000102780 	 DGKH 	 0 	 
rs1012068 	 intron_variant 	 ENSG00000100150 	 DEPDC5 	 0 	 
rs10121009 	 intron_variant 	 ENSG00000198722 	 UNC13B 	 0 	 
rs10122902 	 synonymous_variant 	 ENSG00000147894 	 C9orf72 	 0 	 
rs10123041 	 intron_variant 	 ENSG00000197506 	 SLC28A3 	 0 	 
rs1012307 	 nearest_gene_five_prime_end 	 ENSG00000168288 	 MMADHC 	 -210890 	 
rs10124550 	 intron_variant 	 ENSG00000173068 	 BNC2 	 0 	 
rs10124907 	 nearest_gene_five_prime_end 	 ENSG00000198680 	 TUSC1 	 -18801 	 
rs10125054 	 nearest_gene_five_prime_end 	 ENSG00000148154 	 UGCG 	 -138990 	 
rs10125337 	 nearest_gene_five_prime_end 	 ENSG00000165140 	 FBP1 	 -41506 	 regulatory
rs10125737 	 nearest_gene_five_prime_end 	 ENSG00000135069 	 PSAT1 	 -171837 	 
rs1012583 	 nearest_gene_five_prime_end 	 ENSG00000196428 	 TSC22D2 	 -39114 	 regulatory
rs1012621 	 intron_variant 	 ENSG00000125780 	 TGM3 	 0 	 
rs10127000 	 nearest_gene_five_prime_end 	 ENSG00000186767 	 SPIN4 	 -53974 	 
rs10127775 	 intron_variant 	 ENSG00000143641 	 GALNT2 	 0 	 
rs10128264 	 intron_variant 	 ENSG00000108175 	 ZMIZ1 	 0 	 
rs10128711 	 intron_variant 	 ENSG00000179119 	 SPTY2D1 	 0 	 
rs10129666 	 nearest_gene_five_prime_end 	 ENSG00000021645 	 NRXN3 	 -13666 	 
rs10130556 	 nearest_gene_five_prime_end 	 ENSG00000100523 	 DDHD1 	 -350674 	 
rs1013063 	 nearest_gene_five_prime_end 	 ENSG00000159197 	 KCNE2 	 -37934 	 
rs10131141 	 nearest_gene_five_prime_end 	 ENSG00000129538 	 RNASE1 	 -9704 	 
rs10131300 	 intron_variant 	 ENSG00000182732 	 RGS6 	 0 	 
rs10131728 	 nearest_gene_five_prime_end 	 ENSG00000165417 	 GTF2A1 	 -52398 	 
rs1013209 	 nearest_gene_five_prime_end 	 ENSG00000042980 	 ADAM28 	 -35249 	 
rs10132280 	 nearest_gene_five_prime_end 	 ENSG00000168952 	 STXBP6 	 -408675 	 
rs10132579 	 intron_variant 	 ENSG00000182185 	 RAD51B 	 0 	 
rs10132760 	 nearest_gene_five_prime_end 	 ENSG00000221977 	 OR4E2 	 -63183 	 
rs10133111 	 3_prime_UTR_variant 	 ENSG00000131323 	 TRAF3 	 0 	 
rs10133840 	 nearest_gene_five_prime_end 	 ENSG00000133937 	 GSC 	 -173961 	 
rs10134944 	 intron_variant 	 ENSG00000151812 	 SLC35F4 	 0 	 
rs10136789 	 intron_variant 	 ENSG00000140015 	 KCNH5 	 0 	 
rs1013696 	 nearest_gene_five_prime_end 	 ENSG00000141431 	 ASXL3 	 -261430 	 regulatory
rs10137082 	 upstream_gene_variant 	 ENSG00000166090 	 IL25 	 0 	 
rs10138297 	 nearest_gene_five_prime_end 	 ENSG00000100483 	 VCPKMT 	 -97991 	 
rs1014137 	 intron_variant 	 ENSG00000180347 	 CCDC129 	 0 	 
rs10142119 	 nearest_gene_five_prime_end 	 ENSG00000176605 	 C14orf177 	 -691405 	 
rs1014246 	 intron_variant 	 ENSG00000165868 	 HSPA12A 	 0 	 
rs1014286 	 missense_variant 	 ENSG00000180251 	 SLC9A4 	 0 	 
rs10143078 	 intron_variant 	 ENSG00000258644,ENSG00000213463 	 SYNJ2BP-COX16,SYNJ2BP 	 0 	 
rs10143866 	 nearest_gene_five_prime_end 	 ENSG00000125384 	 PTGER2 	 -103331 	 
rs10144042 	 nearest_gene_five_prime_end 	 ENSG00000176605 	 C14orf177 	 -678492 	 
rs10144321 	 intron_variant 	 ENSG00000176473 	 WDR25 	 0 	 
rs10146615 	 nearest_gene_five_prime_end 	 ENSG00000139973 	 SYT16 	 -270122 	 
rs10146997 	 intron_variant 	 ENSG00000021645 	 NRXN3 	 0 	 
rs10147992 	 intron_variant 	 ENSG00000168952 	 STXBP6 	 0 	 
rs1014922 	 nearest_gene_five_prime_end 	 ENSG00000140563 	 MCTP2 	 -390812 	 
rs1014971 	 nearest_gene_five_prime_end 	 ENSG00000128383 	 APOBEC3A 	 -16123 	 regulatory
rs1015003 	 nearest_gene_five_prime_end 	 ENSG00000215262 	 KCNU1 	 -454216 	 
rs10150332 	 intron_variant 	 ENSG00000021645 	 NRXN3 	 0 	 
rs10151037 	 nearest_gene_five_prime_end 	 ENSG00000139946 	 PELI2 	 -166413 	 
rs1015164 	 nearest_gene_five_prime_end 	 ENSG00000121797 	 CCRL2 	 -3025 	 
rs1015213 	 nearest_gene_five_prime_end 	 ENSG00000168300 	 PCMTD1 	 -75794 	 
rs10152591 	 nearest_gene_five_prime_end 	 ENSG00000137818 	 RPLP1 	 -303033 	 regulatory
rs10152811 	 intron_variant 	 ENSG00000166748 	 AGBL1 	 0 	 
rs1015362 	 nearest_gene_five_prime_end 	 ENSG00000125977 	 EIF2S2 	 -38473 	 
rs10153620 	 intron_variant 	 ENSG00000116117 	 PARD3B 	 0 	 
rs1015451 	 nearest_gene_five_prime_end 	 ENSG00000152661 	 GJA1 	 -374646 	 regulatory
rs10155981 	 nearest_gene_five_prime_end 	 ENSG00000136244 	 IL6 	 -9040 	 regulatory
rs10156309 	 intron_variant 	 ENSG00000185942 	 NKAIN3 	 0 	 
rs1015657 	 nearest_gene_five_prime_end 	 ENSG00000123700 	 KCNJ2 	 -713672 	 
rs10157379 	 intron_variant 	 ENSG00000162711 	 NLRP3 	 0 	 
rs10158897 	 intron_variant 	 ENSG00000162607 	 USP1 	 0 	 
rs10159302 	 intron_variant 	 ENSG00000173406 	 DAB1 	 0 	 
rs10159477 	 intron_variant 	 ENSG00000156515 	 HK1 	 0 	 
rs10160242 	 nearest_gene_five_prime_end 	 ENSG00000110723 	 EXPH5 	 -34419 	 
rs10160399 	 nearest_gene_five_prime_end 	 ENSG00000196778 	 OR52K1 	 -6466 	 
rs10160456 	 nearest_gene_five_prime_end 	 ENSG00000109881 	 CCDC34 	 -48711 	 
rs10162002 	 nearest_gene_five_prime_end 	 ENSG00000151835 	 SACS 	 -34642 	 
rs10162694 	 nearest_gene_five_prime_end 	 ENSG00000255192 	 NANOGP8 	 -30770 	 
rs1016343 	 nearest_gene_five_prime_end 	 ENSG00000212993 	 POU5F1B 	 -333238 	 
rs10164289 	 intron_variant 	 ENSG00000160007 	 ARHGAP35 	 0 	 
rs1016553 	 intron_variant 	 ENSG00000151276 	 MAGI1 	 0 	 
rs10166311 	 intron_variant 	 ENSG00000197635 	 DPP4 	 0 	 
rs10166461 	 intron_variant 	 ENSG00000136717 	 BIN1 	 0 	 
rs10166942 	 upstream_gene_variant 	 ENSG00000144481 	 TRPM8 	 0 	 
rs10167079 	 intron_variant 	 ENSG00000144451 	 SPAG16 	 0 	 
rs10168266 	 intron_variant 	 ENSG00000138378 	 STAT4 	 0 	 
rs10168349 	 intron_variant 	 ENSG00000171132 	 PRKCE 	 0 	 
rs1016883 	 intron_variant 	 ENSG00000115896 	 PLCL1 	 0 	 
rs1016988 	 upstream_gene_variant 	 ENSG00000197536 	 C5orf56 	 0 	 
rs10170236 	 nearest_gene_five_prime_end 	 ENSG00000168288 	 MMADHC 	 -13293 	 
rs10170310 	 intron_variant 	 ENSG00000144228 	 SPOPL 	 0 	 
rs10170846 	 intron_variant 	 ENSG00000116120 	 FARSB 	 0 	 
rs1017226 	 intron_variant 	 ENSG00000095015 	 MAP3K1 	 0 	 
rs10172646 	 intron_variant 	 ENSG00000119866 	 BCL11A 	 0 	 
rs10172965 	 nearest_gene_five_prime_end 	 ENSG00000196950 	 SLC39A10 	 -568882 	 
rs10173297 	 intron_variant 	 ENSG00000151360 	 ALLC 	 0 	 
rs10174126 	 intron_variant 	 ENSG00000130147 	 SH3BP4 	 0 	 
rs10174573 	 nearest_gene_five_prime_end 	 ENSG00000144339 	 TMEFF2 	 -681737 	 
rs10174949 	 nearest_gene_five_prime_end 	 ENSG00000115738 	 ID2 	 -376727 	 
rs10175070 	 nearest_gene_five_prime_end 	 ENSG00000115009 	 CCL20 	 -7983 	 
rs10175798 	 upstream_gene_variant 	 ENSG00000213626 	 LBH 	 0 	 
rs10176394 	 intron_variant 	 ENSG00000075884 	 ARHGAP15 	 0 	 
rs10176705 	 intron_variant 	 ENSG00000179915 	 NRXN1 	 0 	 
rs10176755 	 intron_variant 	 ENSG00000071909 	 MYO3B 	 0 	 
rs1017745 	 nearest_gene_five_prime_end 	 ENSG00000206026 	 SMIM21 	 -387977 	 
rs10177924 	 nearest_gene_five_prime_end 	 ENSG00000153234 	 NR4A2 	 -265307 	 
